id,code,description,total_emp,salary
393031,39-3031,"Ushers, lobby attendants, and ticket takers",106700,17880
393091,39-3091,Amusement and recreation attendants,245380,18220
393092,39-3092,Costume attendants,4570,30890
393093,39-3093,"Locker room, coatroom, and dressing room attendants",17830,20780
393099,39-3099,"Entertainment attendants and related workers, all other",42020,20150
394011,39-4011,Embalmers,8930,38810
394021,39-4021,Funeral attendants,33100,22470
395011,39-5011,Barbers,12110,25860
395012,39-5012,"Hairdressers, hairstylists, and cosmetologists",343320,25760
395091,39-5091,"Makeup artists, theatrical and performance",1400,40710
395092,39-5092,Manicurists and pedicurists,52730,22020
395093,39-5093,Shampooers,15310,17490
395094,39-5094,Skin care specialists,24960,30600
396011,39-6011,Baggage porters and bellhops,49700,22620
396012,39-6012,Concierges,19770,26900
396021,39-6021,Tour guides and escorts,31620,24060
396022,39-6022,Travel guides,3520,33470
396031,39-6031,Flight attendants,97010,35470
396032,39-6032,"Transportation attendants, except flight attendants and baggage porters",20690,22040
399011,39-9011,Child care workers,576680,19670
399021,39-9021,Personal and home care aides,595350,18940
399031,39-9031,Fitness trainers and aerobics instructors,219990,32990
399032,39-9032,Recreation workers,278070,23790
399041,39-9041,Residential advisors,51630,24960
399099,39-9099,"Personal care and service workers, all other",64210,22300
410000,41-0000,Sales and related occupations,14332020,35240
411011,41-1011,First-line supervisors/managers of retail sales workers,1156540,39210
411012,41-1012,First-line supervisors/managers of non-retail sales workers,280770,78170
412011,41-2011,Cashiers,3545330,18380
412012,41-2012,Gaming change persons and booth cashiers,24640,21940
412021,41-2021,Counter and rental clerks,462040,23850
412022,41-2022,Parts salespersons,230480,30540
412031,41-2031,Retail salespersons,4429060,24530
413011,41-3011,Advertising sales agents,161440,52290
413021,41-3021,Insurance sales agents,321920,58580
413031,41-3031,"Securities, commodities, and financial services sales agents",268480,90470
413041,41-3041,Travel agents,85580,32190
413099,41-3099,"Sales representatives, services, all other",556430,57480
414011,41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",403320,76460
414012,41-4012,"Sales representatives, wholesale and manufacturing, except technical and scientific products",1505930,60190
419011,41-9011,Demonstrators and product promoters,83270,26570
419012,41-9012,Models,2060,25040
419021,41-9021,Real estate brokers,49270,79800
419022,41-9022,Real estate sales agents,172030,55090
419031,41-9031,Sales engineers,75940,86350
419041,41-9041,Telemarketers,354000,24430
419091,41-9091,"Door-to-door sales workers, news and street vendors, and related workers",11600,26190
419099,41-9099,"Sales and related workers, all other",151890,41870
430000,43-0000,Office and administrative support occupations,23270810,31200
431011,43-1011,First-line supervisors/managers of office and administrative support workers,1378240,47620
432011,43-2011,"Switchboard operators, including answering service",160200,24460
432021,43-2021,Telephone operators,23840,32690
432099,43-2099,"Communications equipment operators, all other",3830,35470
433011,43-3011,Bill and account collectors,409570,31630
433021,43-3021,Billing and posting clerks and machine operators,515060,31080
433031,43-3031,"Bookkeeping, accounting, and auditing clerks",1858500,32780
433041,43-3041,Gaming cage workers,17120,24610
433051,43-3051,Payroll and timekeeping clerks,201940,34500
433061,43-3061,Procurement clerks,77180,34570
433071,43-3071,Tellers,607960,23620
434011,43-4011,Brokerage clerks,71170,39990
434021,43-4021,Correspondence clerks,15550,30600
434031,43-4031,"Court, municipal, and license clerks",109080,34190
434041,43-4041,"Credit authorizers, checkers, and clerks",67480,31200
434051,43-4051,Customer service representatives,2193430,31040
434061,43-4061,"Eligibility interviewers, government programs",107220,39240
434071,43-4071,File clerks,214590,24450
434081,43-4081,"Hotel, motel, and resort desk clerks",223210,20100
434111,43-4111,"Interviewers, except eligibility and loan",227220,28190
434121,43-4121,"Library assistants, clerical",112300,23750
434131,43-4131,Loan interviewers and clerks,239810,33220
434141,43-4141,New accounts clerks,88880,30450
434151,43-4151,Order clerks,255670,28510
434161,43-4161,"Human resources assistants, except payroll and timekeeping",161970,36000
434171,43-4171,Receptionists and information clerks,1100790,24580
434181,43-4181,Reservation and transportation ticket agents and travel clerks,167390,31080
434199,43-4199,All other information and record clerks,233180,33580
435011,43-5011,Cargo and freight agents,81380,38760
435021,43-5021,Couriers and messengers,100820,24000
435031,43-5031,"Police, fire, and ambulance dispatchers",93670,34060
435032,43-5032,"Dispatchers, except police, fire, and ambulance",190190,35500
435041,43-5041,"Meter readers, utilities",46220,33520
435051,43-5051,Postal service clerks,79500,44290
435052,43-5052,Postal service mail carriers,348070,44030
435053,43-5053,"Postal service mail sorters, processors, and processing machine operators",201430,40890
435061,43-5061,"Production, planning, and expediting clerks",283930,41050
435071,43-5071,"Shipping, receiving, and traffic clerks",755790,28410
435081,43-5081,Stock clerks and order fillers,1817650,22720
435111,43-5111,"Weighers, measurers, checkers, and samplers, recordkeeping",76000,27810
436011,43-6011,Executive secretaries and administrative assistants,1517410,40700
436012,43-6012,Legal secretaries,266180,40550
436013,43-6013,Medical secretaries,424670,30050
436014,43-6014,"Secretaries, except legal, medical, and executive",1832490,29190
439011,43-9011,Computer operators,117380,36080
439021,43-9021,Data entry keyers,286540,26350
439022,43-9022,Word processors and typists,139420,31580
439031,43-9031,Desktop publishers,29320,37470
439041,43-9041,Insurance claims and policy processing clerks,232700,33780
439051,43-9051,"Mail clerks and mail machine operators, except postal service",138990,25630
439061,43-9061,"Office clerks, general",2980350,25960
439071,43-9071,"Office machine operators, except computer",87240,26730
439081,43-9081,Proofreaders and copy markers,15650,30930
439111,43-9111,Statistical assistants,19210,34220
439199,43-9199,"Office and administrative support workers, all other",266220,30680
450000,45-0000,"Farming, fishing, and forestry occupations",448000,22640
451011,45-1011,"First-line supervisors/managers of farming, fishing, and forestry workers",20860,41080
451012,45-1012,Farm labor contractors,1450,33180
452011,45-2011,Agricultural inspectors,14510,39830
452021,45-2021,Animal breeders,2320,32370
452041,45-2041,"Graders and sorters, agricultural products",40770,19590
452091,45-2091,Agricultural equipment operators,22490,23140
452092,45-2092,"Farmworkers and laborers, crop, nursery, and greenhouse",239380,18350
452093,45-2093,"Farmworkers, farm and ranch animals",43120,21860
452099,45-2099,"Agricultural workers, all other",7960,27370
453011,45-3011,Fishers and related fishing workers,960,28280
454011,45-4011,Forest and conservation workers,8770,24160
454021,45-4021,Fallers,7500,34060
454022,45-4022,Logging equipment operators,27700,31920
454023,45-4023,Log graders and scalers,4430,33620
454029,45-4029,"Logging workers, all other",5740,32210
470000,47-0000,Construction and extraction occupations,6708200,40620
471011,47-1011,First-line supervisors/managers of construction trades and extraction workers,577130,59360
472011,47-2011,Boilermakers,18650,51420
472021,47-2021,Brickmasons and blockmasons,116290,45800
472022,47-2022,Stonemasons,18760,39470
472031,47-2031,Carpenters,969670,41260
472041,47-2041,Carpet installers,34630,39960
472042,47-2042,"Floor layers, except carpet, wood, and hard tiles",14070,38980
472043,47-2043,Floor sanders and finishers,8220,33460
472044,47-2044,Tile and marble setters,52790,40810
472051,47-2051,Cement masons and concrete finishers,213850,37300
472053,47-2053,Terrazzo workers and finishers,5920,37790
472061,47-2061,Construction laborers,1053060,30950
472071,47-2071,"Paving, surfacing, and tamping equipment operators",63850,35450
472072,47-2072,Pile-driver operators,5050,51580
472073,47-2073,Operating engineers and other construction equipment operators,403620,42060
472081,47-2081,Drywall and ceiling tile installers,137570,39400
472082,47-2082,Tapers,37280,43870
472111,47-2111,Electricians,624560,48100
472121,47-2121,Glaziers,50800,38680
472131,47-2131,"Insulation workers, floor, ceiling, and wall",29660,34220
472132,47-2132,"Insulation workers, mechanical",29110,41480
472141,47-2141,"Painters, construction and maintenance",260260,35230
472142,47-2142,Paperhangers,5970,38820
472151,47-2151,Pipelayers,56890,34750
472152,47-2152,"Plumbers, pipefitters, and steamfitters",435010,47350
472161,47-2161,Plasterers and stucco masons,49310,39190
472171,47-2171,Reinforcing iron and rebar workers,28270,42640
472181,47-2181,Roofers,123180,36340
472211,47-2211,Sheet metal workers,167730,42640
472221,47-2221,Structural iron and steel workers,65100,45730
473011,47-3011,"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",57870,28480
473012,47-3012,Helpers--carpenters,96180,25330
473013,47-3013,Helpers--electricians,101370,26010
473014,47-3014,"Helpers--painters, paperhangers, plasterers, and stucco masons",22770,23320
473015,47-3015,"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",83380,26500
473016,47-3016,Helpers--roofers,21250,23650
473019,47-3019,"Helpers, construction trades, all other",33870,25850
474011,47-4011,Construction and building inspectors,95890,50440
474021,47-4021,Elevator installers and repairers,22950,66330
474031,47-4031,Fence erectors,26650,28690
474041,47-4041,Hazardous materials removal workers,39530,39210
474051,47-4051,Highway maintenance workers,137140,33710
474061,47-4061,Rail-track laying and maintenance equipment operators,14050,41600
474071,47-4071,Septic tank servicers and sewer pipe cleaners,23440,34100
474091,47-4091,Segmental pavers,1090,26940
474099,47-4099,"Construction and related workers, all other",58040,33620
475011,47-5011,"Derrick operators, oil and gas",19410,39480
475012,47-5012,"Rotary drill operators, oil and gas",22600,45560
475013,47-5013,"Service unit operators, oil, gas, and mining",30440,38580
475021,47-5021,"Earth drillers, except oil and gas",19760,39200
475031,47-5031,"Explosives workers, ordnance handling experts, and blasters",5750,43020
475041,47-5041,Continuous mining machine operators,9830,43800
475042,47-5042,Mine cutting and channeling machine operators,8460,39360
475049,47-5049,"Mining machine operators, all other",4170,41660
475051,47-5051,"Rock splitters, quarry",4100,30550
475061,47-5061,"Roof bolters, mining",4130,43990
475071,47-5071,"Roustabouts, oil and gas",54200,30480
475081,47-5081,Helpers--extraction workers,24670,31670
475099,47-5099,"Extraction workers, all other",8890,41990
490000,49-0000,"Installation, maintenance, and repair occupations",5390090,39930
491011,49-1011,"First-line supervisors/managers of mechanics, installers, and repairers",443790,57400
492011,49-2011,"Computer, automated teller, and office machine repairers",132750,38710
492021,49-2021,Radio mechanics,5570,42020
492022,49-2022,"Telecommunications equipment installers and repairers, except line installers",189290,51760
492091,49-2091,Avionics technicians,16300,48240
492092,49-2092,"Electric motor, power tool, and related repairers",22150,36180
492093,49-2093,"Electrical and electronics installers and repairers, transportation equipment",18160,44210
492094,49-2094,"Electrical and electronics repairers, commercial and industrial equipment",79150,47630
492095,49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",23320,58200
492096,49-2096,"Electronic equipment installers and repairers, motor vehicles",19310,30360
492097,49-2097,Electronic home entertainment equipment installers and repairers,38170,33160
492098,49-2098,Security and fire alarm systems installers,60700,37290
493011,49-3011,Aircraft mechanics and service technicians,118780,49670
493021,49-3021,Automotive body and related repairers,152790,38530
493022,49-3022,Automotive glass installers and repairers,18340,32870
493023,49-3023,Automotive service technicians and mechanics,650780,36480
493031,49-3031,Bus and truck mechanics and diesel engine specialists,250370,39610
493041,49-3041,Farm equipment mechanics,29660,31670
493042,49-3042,"Mobile heavy equipment mechanics, except engines",124180,42790
493043,49-3043,Rail car repairers,23190,45120
493051,49-3051,Motorboat mechanics,19610,35490
493052,49-3052,Motorcycle mechanics,16800,32210
493053,49-3053,Outdoor power equipment and other small engine mechanics,27560,29000
493091,49-3091,Bicycle repairers,9130,23040
493092,49-3092,Recreational vehicle service technicians,14030,33670
493093,49-3093,Tire repairers and changers,100510,23380
499011,49-9011,Mechanical door repairers,18280,34140
499012,49-9012,"Control and valve installers and repairers, except mechanical door",43160,46240
499021,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",262570,40630
499031,49-9031,Home appliance repairers,39130,35200
499041,49-9041,Industrial machinery mechanics,266550,44020
499042,49-9042,"Maintenance and repair workers, general",1308350,34350
499043,49-9043,"Maintenance workers, machinery",78760,37450
499044,49-9044,Millwrights,49360,48660
499045,49-9045,"Refractory materials repairers, except brickmasons",2700,41910
499051,49-9051,Electrical power-line installers and repairers,109990,51690
499052,49-9052,Telecommunications line installers and repairers,160250,46570
499061,49-9061,Camera and photographic equipment repairers,3870,37570
499062,49-9062,Medical equipment repairers,34080,43580
499063,49-9063,Musical instrument repairers and tuners,5410,34330
499064,49-9064,Watch repairers,2840,36200
499069,49-9069,"Precision instrument and equipment repairers, all other",13640,48320
499091,49-9091,"Coin, vending, and amusement machine servicers and repairers",42150,30050
499092,49-9092,Commercial divers,1980,51510
499093,49-9093,"Fabric menders, except garment",990,28580
499094,49-9094,Locksmiths and safe repairers,18750,34430
499095,49-9095,Manufactured building and mobile home installers,9150,28280
499096,49-9096,Riggers,12390,40720
499097,49-9097,Signal and track switch repairers,6090,51290
499098,49-9098,"Helpers--installation, maintenance, and repair workers",153320,24840
499099,49-9099,"Installation, maintenance, and repair workers, all other",141980,35910
510000,51-0000,Production occupations,10146560,31310
511011,51-1011,First-line supervisors/managers of production and operating workers,666850,51740
512011,51-2011,"Aircraft structure, surfaces, rigging, and systems assemblers",34410,44180
512021,51-2021,"Coil winders, tapers, and finishers",22300,27960
512022,51-2022,Electrical and electronic equipment assemblers,216470,28590
512023,51-2023,Electromechanical equipment assemblers,64570,29970
512031,51-2031,Engine and other machine assemblers,41100,33260
512041,51-2041,Structural metal fabricators and fitters,107830,32290
512091,51-2091,Fiberglass laminators and fabricators,31810,27490
512092,51-2092,Team assemblers,1167150,26470
512093,51-2093,"Timing device assemblers, adjusters, and calibrators",2710,29940
512099,51-2099,"Assemblers and fabricators, all other",330940,32700
513011,51-3011,Bakers,141560,24360
513021,51-3021,Butchers and meat cutters,128510,28840
513022,51-3022,"Meat, poultry, and fish cutters and trimmers",150190,21730
513023,51-3023,Slaughterers and meat packers,110020,22520
513091,51-3091,"Food and tobacco roasting, baking, and drying machine operators and tenders",18130,27130
513092,51-3092,Food batchmakers,99650,25770
513093,51-3093,Food cooking machine operators and tenders,41790,23750
514011,51-4011,"Computer-controlled machine tool operators, metal and plastic",140380,33690
514012,51-4012,Numerical tool and process control programmers,17280,44800
514021,51-4021,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",95330,30030
514022,51-4022,"Forging machine setters, operators, and tenders, metal and plastic",30130,31360
514023,51-4023,"Rolling machine setters, operators, and tenders, metal and plastic",37950,33960
514031,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",254160,28540
514032,51-4032,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",37680,32050
514033,51-4033,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",96730,30360
514034,51-4034,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",61140,33520
514035,51-4035,"Milling and planing machine setters, operators, and tenders, metal and plastic",26430,33100
514041,51-4041,Machinists,410900,36370
514051,51-4051,Metal-refining furnace operators and tenders,19180,35330
514052,51-4052,"Pourers and casters, metal",15470,32640
514061,51-4061,"Model makers, metal and plastic",9270,43990
514062,51-4062,"Patternmakers, metal and plastic",7250,39160
514071,51-4071,Foundry mold and coremakers,15000,30370
514072,51-4072,"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",147850,28330
514081,51-4081,"Multiple machine tool setters, operators, and tenders, metal and plastic",91090,32280
514111,51-4111,Tool and die makers,92560,46520
514121,51-4121,"Welders, cutters, solderers, and brazers",385740,33960
514122,51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",50820,33200
514191,51-4191,"Heat treating equipment setters, operators, and tenders, metal and plastic",25500,32180
514192,51-4192,"Lay-out workers, metal and plastic",9190,36760
514193,51-4193,"Plating and coating machine setters, operators, and tenders, metal and plastic",41370,29540
514194,51-4194,"Tool grinders, filers, and sharpeners",17240,32760
514199,51-4199,"Metal workers and plastic workers, all other",47100,36530
515011,51-5011,Bindery workers,62990,28200
515012,51-5012,Bookbinders,6230,31980
515021,51-5021,Job printers,43320,34220
515022,51-5022,Prepress technicians and workers,65540,35520
515023,51-5023,Printing machine operators,199790,33450
516011,51-6011,Laundry and dry-cleaning workers,218060,19570
516021,51-6021,"Pressers, textile, garment, and related materials",69260,19280
516031,51-6031,Sewing machine operators,200340,21080
516041,51-6041,Shoe and leather workers and repairers,7880,23080
516042,51-6042,Shoe machine operators and tenders,4130,24510
516051,51-6051,"Sewers, hand",8530,22250
516052,51-6052,"Tailors, dressmakers, and custom sewers",31550,25980
516061,51-6061,Textile bleaching and dyeing machine operators and tenders,18050,24180
516062,51-6062,"Textile cutting machine setters, operators, and tenders",21080,23510
516063,51-6063,"Textile knitting and weaving machine setters, operators, and tenders",33400,24960
516064,51-6064,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",40450,23790
516091,51-6091,"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",15240,30760
516092,51-6092,Fabric and apparel patternmakers,8370,40900
516093,51-6093,Upholsterers,40290,29620
516099,51-6099,"Textile, apparel, and furnishings workers, all other",21760,26060
517011,51-7011,Cabinetmakers and bench carpenters,128730,29640
517021,51-7021,Furniture finishers,23470,27440
517031,51-7031,"Model makers, wood",1610,35470
517032,51-7032,"Patternmakers, wood",2040,35320
517041,51-7041,"Sawing machine setters, operators, and tenders, wood",58160,26160
517042,51-7042,"Woodworking machine setters, operators, and tenders, except sawing",95220,25430
517099,51-7099,"Woodworkers, all other",11470,25790
518011,51-8011,Nuclear power reactor operators,4220,71220
518012,51-8012,Power distributors and dispatchers,9410,63100
518013,51-8013,Power plant operators,34400,57020
518021,51-8021,Stationary engineers and boiler operators,40370,48700
518031,51-8031,Water and liquid waste treatment plant and system operators,108290,38360
518091,51-8091,Chemical plant and system operators,48030,50950
518092,51-8092,Gas plant operators,13190,54510
518093,51-8093,"Petroleum pump system operators, refinery operators, and gaugers",43270,53420
518099,51-8099,"Plant and system operators, all other",13290,46780
519011,51-9011,Chemical equipment operators and tenders,52620,44250
519012,51-9012,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",44310,37260
519021,51-9021,"Crushing, grinding, and polishing machine setters, operators, and tenders",42360,30210
519022,51-9022,"Grinding and polishing workers, hand",42750,26160
519023,51-9023,"Mixing and blending machine setters, operators, and tenders",139370,31710
519031,51-9031,"Cutters and trimmers, hand",26180,25480
519032,51-9032,"Cutting and slicing machine setters, operators, and tenders",80260,30180
519041,51-9041,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",88600,29540
519051,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",24590,32030
519061,51-9061,"Inspectors, testers, sorters, samplers, and weighers",472900,32980
519071,51-9071,Jewelers and precious stone and metal workers,27160,34010
519081,51-9081,Dental laboratory technicians,44530,35850
519082,51-9082,Medical appliance technicians,11900,36010
519083,51-9083,Ophthalmic laboratory technicians,30900,28530
519111,51-9111,Packaging and filling machine operators and tenders,368320,25860
519121,51-9121,"Coating, painting, and spraying machine setters, operators, and tenders",102600,28900
519122,51-9122,"Painters, transportation equipment",51260,38870
519123,51-9123,"Painting, coating, and decorating workers",31740,25060
519131,51-9131,Photographic process workers,21090,28250
519132,51-9132,Photographic processing machine operators,50690,21860
519141,51-9141,Semiconductor processors,36690,34820
519191,51-9191,Cementing and gluing machine operators and tenders,21670,27770
519192,51-9192,"Cleaning, washing, and metal pickling equipment operators and tenders",16850,25210
519193,51-9193,Cooling and freezing equipment operators and tenders,9610,25660
519194,51-9194,Etchers and engravers,11130,28720
519195,51-9195,"Molders, shapers, and casters, except metal and plastic",41650,28100
519196,51-9196,"Paper goods machine setters, operators, and tenders",111250,33050
519197,51-9197,Tire builders,20530,39540
519198,51-9198,Helpers--production workers,524440,22600
519199,51-9199,"Production workers, all other",288480,29500
530000,53-0000,Transportation and material moving occupations,9629030,30680
531011,53-1011,Aircraft cargo handling supervisors,4690,44630
531021,53-1021,"First-line supervisors/managers of helpers, laborers, and material movers, hand",184400,43020
531031,53-1031,First-line supervisors/managers of transportation and material-moving machine and vehicle operators,223710,52510
532011,53-2011,"Airline pilots, copilots, and flight engineers",78250,113940
532012,53-2012,Commercial pilots,29180,71270
532021,53-2021,Air traffic controllers,24180,107780
532022,53-2022,Airfield operations specialists,6210,40930
533011,53-3011,"Ambulance drivers and attendants, except emergency medical technicians",21520,22310
533021,53-3021,"Bus drivers, transit and intercity",189050,34150
533022,53-3022,"Bus drivers, school",461590,26190
533031,53-3031,Driver/sales workers,382360,25190
533032,53-3032,"Truck drivers, heavy and tractor-trailer",1693590,37560
533033,53-3033,"Truck drivers, light or delivery services",922900,28820
533041,53-3041,Taxi drivers and chauffeurs,165590,22740
533099,53-3099,"Motor vehicle operators, all other",77660,27870
534011,53-4011,Locomotive engineers,41760,63180
534012,53-4012,Locomotive firers,580,49660
534013,53-4013,"Rail yard engineers, dinkey operators, and hostlers",4950,40510
534021,53-4021,"Railroad brake, signal, and switch operators",23120,54530
534031,53-4031,Railroad conductors and yardmasters,37540,61480
534041,53-4041,Subway and streetcar operators,6600,47740
534099,53-4099,"Rail transportation workers, all other",5210,38730
535011,53-5011,Sailors and marine oilers,32520,34050
535021,53-5021,"Captains, mates, and pilots of water vessels",30540,62720
535022,53-5022,Motorboat operators,3250,36570
535031,53-5031,Ship engineers,13710,61680
536011,53-6011,Bridge and lock tenders,4750,38120
536021,53-6021,Parking lot attendants,131860,19320
536031,53-6031,Service station attendants,93140,19720
536041,53-6041,Traffic technicians,6550,40150
536051,53-6051,Transportation inspectors,24130,57050
536099,53-6099,"Transportation workers, all other",46720,34330
537011,53-7011,Conveyor operators and tenders,45580,29020
537021,53-7021,Crane and tower operators,45720,42940
537031,53-7031,Dredge operators,1910,38320
537032,53-7032,Excavating and loading machine and dragline operators,68040,36990
537033,53-7033,"Loading machine operators, underground mining",2770,41980
537041,53-7041,Hoist and winch operators,3220,39190
537051,53-7051,Industrial truck and tractor operators,630700,29760
537061,53-7061,Cleaners of vehicles and equipment,336210,20870
537062,53-7062,"Laborers and freight, stock, and material movers, hand",2363440,23840
537063,53-7063,Machine feeders and offbearers,143140,25260
537064,53-7064,"Packers and packagers, hand",798450,20320
537071,53-7071,Gas compressor and gas pumping station operators,4230,44590
537072,53-7072,"Pump operators, except wellhead pumpers",10400,40660
537073,53-7073,Wellhead pumpers,15780,37680
537081,53-7081,Refuse and recyclable material collectors,126270,31410
537111,53-7111,Shuttle car operators,2660,41300
537121,53-7121,"Tank car, truck, and ship loaders",14870,35820
537199,53-7199,"Material moving workers, all other",43840,33170